,name,code
222,승리기계제작소,028540.KS
223,신한은행(조흥),015580.KS
224,아시아퍼시픽13호,083600.KS
225,아시아퍼시픽14호,083610.KS
226,에스와이,004530.KS
227,에프지엔개발리츠,119250.KS
228,영원통신,028520.KS
229,우리금융지주,053000.KS
230,인천중공업,028770.KS
231,일신,031060.KS
232,제일저축은행,024100.KS
233,중국고섬,950070.KS
234,진성레미컨,002910.KS
235,진영산업,004330.KS
236,청화상공,016490.KS
237,카스코,005330.KS
238,케이엠에이치,009690.KS
239,코리아03호,090990.KS
240,코크렙II,070540.KS
241,코크렙제3호CR리츠,073530.KS
242,태화쇼핑,015880.KS
243,태흥피혁,016680.KS
244,티이씨코,008900.KS
245,풍진,028640.KS
246,플래티넘3호,035040.KS
247,플래티넘타겟,035050.KS
248,하나은행,002860.KS
249,한일방직,004210.KS
250,한일양행의약품,004350.KS
251,한주통산,000450.KS
252,한진건설,005660.KS
253,한화폴리드리머,003500.KS
254,허메스홀딩스,012400.KS
255,현대경매부동산일호,083160.KS
256,현대리바트,012830.KS
257,현대페인트,011720.KS
258,호승,017070.KS
259,BGF리테일,282330.KS
260,CJ CGV,079160.KS
261,CJ대한통운,000120.KS
262,GKL,114090.KS
263,GS건설,006360.KS
264,KB금융,105560.KS
265,SG충방,001380.KS
266,SKC,011790.KS
267,금강공업,014280.KS
268,금호산업,002990.KS
269,금호전기,001210.KS
270,기업은행,024110.KS
271,남선알미늄,008350.KS
272,남성,004270.KS
273,대구백화점,006370.KS
274,대덕전자,008060.KS
275,대우건설,047040.KS
276,대원제약,003220.KS
277,대한방직,001070.KS
278,대한제강,084010.KS
279,대한제당,001790.KS
280,대현,016090.KS
281,덕양산업,024900.KS
282,동원금속,018500.KS
283,두산인프라코어,042670.KS
284,디씨엠,024090.KS
285,디티알오토모티브,007340.KS
286,롯데손해보험,000400.KS
287,롯데칠성음료,005300.KS
288,만도,204320.KS
289,미래에셋생명,085620.KS
290,미원홀딩스,107590.KS
291,백산,035150.KS
292,보락,002760.KS
293,사조대림,003960.KS
294,사조동아원,008040.KS
295,삼부토건,001470.KS
296,삼호,001880.KS
297,서원,021050.KS
298,세방,004360.KS
299,세아홀딩스,058650.KS
300,세이브존I&C,067830.KS
301,신송홀딩스,006880.KS
302,신일전자,002700.KS
303,써니전자,004770.KS
304,아이마켓코리아,122900.KS
305,아이에이치큐,003560.KS
306,에이블씨엔씨,078520.KS
307,엔씨소프트,036570.KS
308,영보화학,014440.KS
309,영진약품,003520.KS
310,영풍,000670.KS
311,예스코홀딩스,015360.KS
312,유니온머티리얼,047400.KS
313,유성기업,002920.KS
314,유유제약,000220.KS
315,유한양행,000100.KS
316,이마트,139480.KS
317,이수화학,005950.KS
318,이스타코,015020.KS
319,일정실업,008500.KS
320,종근당,185750.KS
321,종근당홀딩스,001630.KS
322,지엠비코리아,013870.KS
323,진원생명과학,011000.KS
324,케이씨텍,281820.KS
325,코리아써키트,007810.KS
326,코스모화학,005420.KS
327,코아스,071950.KS
328,코오롱플라스틱,138490.KS
329,쿠쿠홀딩스,192400.KS
330,큐로,015590.KS
331,태영건설,009410.KS
332,티비에이치글로벌,084870.KS
333,파미셀,005690.KS
334,하이트론씨스템즈,019490.KS
335,하이트진로,000080.KS
336,한국금융지주,071050.KS
337,한국전자홀딩스,006200.KS
338,한국테크놀로지그룹,000240.KS
339,한국토지신탁,034830.KS
340,한일시멘트,300720.KS
341,한전KPS,051600.KS
342,한화시스템,272210.KS
343,해태제과식품,101530.KS
344,현대에이치씨엔,126560.KS
345,현대위아,011210.KS
346,현대중공업지주,267250.KS
347,현대코퍼레이션홀딩스,227840.KS
348,화승인더스트리,006060.KS
349,화천기공,000850.KS
350,환인제약,016580.KS
351,효성,004800.KS
352,효성화학,298000.KS
353,KB캐피탈,021960.KS
354,LG금속,000170.KS
355,갑을,009840.KS
356,경남은행,192520.KS
357,경성전기,028740.KS
358,계몽사,011840.KS
359,고려증권,002730.KS
360,고합물산,007380.KS
361,국민은행,060000.KS
362,금강산업,028970.KS
363,금성기전,007230.KS
364,금성통신,006270.KS
365,기온물산,028510.KS
366,다산리츠,105380.KS
367,다함이텍,009280.KS
368,대구종금,014390.KS
369,대신불펀드일,036390.KS
370,대아리드선,009940.KS
371,대우정밀공업,015730.KS
372,대한염업,028890.KS
373,동국전자,012220.KS
374,동산씨앤지,001400.KS
375,동서호라이즌증권,001090.KS
376,동신,012270.KS
377,동화은행,021310.KS
378,두산건설,011160.KS
379,두산백화,000330.KS
380,두산테크팩,001690.KS
381,레이디,025840.KS
382,리젠트종금,015650.KS
383,리젠트화재보험,001030.KS
384,마이크로닉스,001190.KS
385,만도기계,005790.KS
386,미우,009990.KS
387,바다로3호,092630.KS
388,반도목재,029250.KS
389,벽산건설,002530.KS
390,부산은행,005280.KS
391,부흥,003930.KS
392,산은캐피탈,008270.KS
393,삼도물산,002930.KS
394,삼양종금,014450.KS
395,삼익주택,005580.KS
396,삼화프라스틱,028950.KS
397,새한종금,011960.KS
398,서울저축은행,016560.KS
399,선진지주,014300.KS
400,스타리스,018020.KS
401,신광기업,001580.KS
402,신동방CP,004660.KS
403,신원제이엠씨,001160.KS
404,신한종금,016350.KS
405,신한카드,032710.KS
406,아시아5호,082240.KS
407,아이넥스,008440.KS
408,양우화학공업,028590.KS
409,우단,016260.KS
410,울산실업,029100.KS
411,장인환1호,036870.KS
412,중원전자,028610.KS
413,청구,011510.KS
414,코크렙1호부동산투자,067910.KS
415,태양이앤테크,013070.KS
416,태창목재공업,029140.KS
417,태평양제약,016570.KS
418,평산차업,950010.KS
419,플래티넘2호,034850.KS
420,피어리스,002130.KS
421,한국고덴시,027840.KS
422,한국물산,011820.KS
423,한국씨티은행,016830.KS
424,한국주택은행,027460.KS
425,한메NS,006150.KS
426,한스종금,012710.KS
427,한화갤러리아타임월드,027390.KS
428,현대푸드,114410.KS
429,환영철강공업,012670.KS
430,AJ네트웍스,095570.KS
431,CJ,001040.KS
432,CJ제일제당,097950.KS
433,DRB동일,004840.KS
434,HDC아이콘트롤스,039570.KS
435,HMM,011200.KS
436,KPX케미칼,025000.KS
437,KTis,058860.KS
438,LG상사,001120.KS
439,MH에탄올,023150.KS
440,SBS,034120.KS
441,SBS미디어홀딩스,101060.KS
442,SK텔레콤,017670.KS
443,강원랜드,035250.KS
